"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 03-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"84","RAIL","TITAGARH TPS",240,20,3.8,60,16,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,100,3,"*","**","Coal Transportation"
"TOTAL OF E.R.",21515,18,298.5,2645,9,9,6,,,
"ALL INDIA TOTAL",82442,22,1230,14994,12,28,13,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",28,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",13,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 12-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,7,3,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,159,13,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,90,4,"*","No import",
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,89,11,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,147,9,,,
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,202,29,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,195,15,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,480,24,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,130,25,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,62,3,"*","**","Less import"
"11","RAIL","SURATGARH TPS",1500,30,20.8,166,8,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,224,35,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,340,13,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,95,34,,,
"15","RAIL","OBRA TPS",1372,20,13.9,246,18,,,
"16","RAIL","PANKI TPS",210,30,3.5,95,27,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,296,32,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,102,4,"*","Less Receipt",
"19","PITHEAD","RIHAND STPS",2000,15,32.1,675,21,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,643,20,,,
"21","RAIL","TANDA TPS",440,25,7.8,245,31,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,491,28,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,47,5,"*","Data not received",
"TOTAL OF N.R.",22342,24,331.9,5228,16,5,2,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,128,15,,,
"25","PITHEAD","KORBA-II",440,15,8.7,104,12,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,461,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,552,15,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,615,35,,,
"29","RAIL","PATHADI TPP",600,15,8.7,262,30,,,
"30","RAIL","BHILAI TPS",500,25,7.8,93,12,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,43,3,"*","**","Less Receipt"
"32","RAIL","UKAI TPS",850,30,12.1,59,5,"*","Higher Generation",
"33","RAIL","SIKKA REP. TPS",240,30,3.8,14,4,"*","Less Receipt",
"34","RAIL","WANAKBORI TPS",1470,30,22.5,121,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,77,12,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,175,34,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,20,1,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,122,7,,,
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,690,13,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,243,32,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,431,11,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,23,1,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,250,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,208,15,,,
"45","RAIL","PARLI TPS",1170,25,16.7,109,7,,,
"46","RAIL","PARAS TPS",555,25,7.5,123,16,,,
"47","RAIL","DAHANU TPS",500,25,9.2,20,2,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,33,5,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,4976,13,8,4,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,108,4,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,364,19,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,6,6,"*","Less Receipt",
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,117,7,,,
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,524,14,,,
"54","RAIL","SIMHADRI",1500,25,23.1,148,6,"*","Less Receipt",
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,108,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,463,18,,,
"57","RAIL","BELLARY TPS",500,20,8.7,56,6,"*","Less Receipt",
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,9,1,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,115,8,,,
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,74,7,,,
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,71,4,"*","Less Receipt",
"TOTAL OF S.R.",13882.5,23,212.6,2163,10,6,1,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,19,16,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,8,5,"*","Less Receipt",
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,0,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,86,30,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,64,14,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,360,40,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,12,1,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,124,16,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,235,27,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,352,7,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,67,4,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,305,64,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,172,10,,,
"76","RAIL","BANDEL TPS",450,20,4.9,28,6,"*","Less Receipt",
"77","RAIL","D.P.L. TPS",690,25,7.8,188,24,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,36,2,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,46,6,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,45,7,,,
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,268,28,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,19,14,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,51,22,,,
"84","RAIL","TITAGARH TPS",240,20,3.8,65,17,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,100,3,"*","**","Coal Transportation"
"TOTAL OF E.R.",21515,18,298.5,2650,9,9,5,,,
"ALL INDIA TOTAL",82442,22,1230,15016,12,28,12,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",28,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",12,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 14-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,5,2,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,164,13,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,109,5,"*","No import",
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,97,12,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,173,11,,,
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,193,28,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,201,15,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,490,24,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,128,25,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,67,4,"*","Less import",
"11","RAIL","SURATGARH TPS",1500,30,20.8,176,8,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,218,34,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,353,14,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,95,34,,,
"15","RAIL","OBRA TPS",1372,20,13.9,244,18,,,
"16","RAIL","PANKI TPS",210,30,3.5,94,27,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,297,32,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,97,4,"*","Less Receipt",
"19","PITHEAD","RIHAND STPS",2000,15,32.1,661,21,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,658,20,,,
"21","RAIL","TANDA TPS",440,25,7.8,244,31,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,491,28,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,44,5,"*","No import",
"TOTAL OF N.R.",22342,24,331.9,5301,16,5,1,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,130,15,,,
"25","PITHEAD","KORBA-II",440,15,8.7,112,13,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,461,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,545,15,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,620,36,,,
"29","RAIL","PATHADI TPP",600,15,8.7,248,29,,,
"30","RAIL","BHILAI TPS",500,25,7.8,99,13,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,47,3,"*","**","Less Receipt"
"32","RAIL","UKAI TPS",850,30,12.1,43,4,"*","Higher Generation",
"33","RAIL","SIKKA REP. TPS",240,30,3.8,10,3,"*","**","Less Receipt"
"34","RAIL","WANAKBORI TPS",1470,30,22.5,120,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,82,13,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,175,34,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,11,1,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,119,7,,,
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,656,12,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,245,33,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,451,12,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,21,1,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,252,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,210,15,,,
"45","RAIL","PARLI TPS",1170,25,16.7,93,6,"*","Less Receipt",
"46","RAIL","PARAS TPS",555,25,7.5,117,16,,,
"47","RAIL","DAHANU TPS",500,25,9.2,25,3,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,38,6,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,4929,13,9,5,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,119,5,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,357,19,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,8,8,,,
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,100,6,"*","Less Receipt",
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,519,14,,,
"54","RAIL","SIMHADRI",1500,25,23.1,149,6,"*","Less Receipt",
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,107,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,455,18,,,
"57","RAIL","BELLARY TPS",500,20,8.7,56,6,"*","Less Receipt",
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,11,2,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,112,8,,,
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,47,5,"*","Less Receipt",
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,49,3,"*","**","Less Receipt"
"TOTAL OF S.R.",13882.5,23,212.6,2089,10,7,2,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,18,16,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,8,4,"*","Less Receipt",
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,0,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,89,31,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,62,13,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,360,40,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,12,1,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,129,17,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,239,28,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,370,7,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,67,4,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,305,64,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,172,10,,,
"76","RAIL","BANDEL TPS",450,20,4.9,28,6,"*","Less Receipt",
"77","RAIL","D.P.L. TPS",690,25,7.8,186,24,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,6,0,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,46,6,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,45,7,,,
"81","RAIL","BUDGE BUDGE TPS",750,20,9.5,272,29,,,
"82","RAIL","NEW COSSIPORE TPS",160,20,1.3,17,13,,,
"83","RAIL","SOUTHERN REPL. TPS",135,20,2.3,54,23,,,
"84","RAIL","TITAGARH TPS",240,20,3.8,69,18,,,
"85","PITHEAD","FARAKKA STPS",2100,15,31.8,99,3,"*","**","Coal Transportation"
"TOTAL OF E.R.",21515,18,298.5,2652,9,9,5,,,
"ALL INDIA TOTAL",82442,22,1230,14970,12,30,13,,,
,,,,,,,,,,
"(*) Critical i.e. stock less than 7 days in",30,"TPSs","{Includes super critical also}",,,,,,,
"(**) Super Critical i.e. stock less than 4 days in",13,"TPSs",,,,,,,,
"CENTRAL ELECTRICITY AUTHORITY",,,,,,,,,,
"OPERATION MONITORING DIVISION",,,,,,,,,,
"DAILY COAL REPORT",,,,,,,,,,
"Figures in 000 tonnes",,,,,,,,,,
"COAL STOCKS POSITION AT VARIOUS THERMAL POWER STATIONS IN THE COUNTRY ( AS ON 17-Apr-2011 )",,,,,,,,,,
"Page 1 of2",,,,,,,,,,
,,,,,,,,,,
"REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"NORTHERN",,,,,,,,,,
"DELHI",,,,,,,,,,
"1","RAIL","RAJGHAT TPS",135,20,2.5,5,2,"*","**","Less Receipt"
"2","RAIL","BADARPUR TPS",705,30,12.7,166,13,,,
"HARYANA",,,,,,,,,,
"3","RAIL","PANIPAT TPS",1360,25,21.7,12,1,"*","**","No import"
"4","RAIL","YAMUNA NAGAR TPS",600,25,8.1,111,14,,,
"5","RAIL","RAJIV GANDHI TPS",1200,25,15.6,174,11,,,
"6","RAIL","INDIRA GANDHI STPP",500,25,6.9,182,26,,,
"PUNJAB",,,,,,,,,,
"7","RAIL","GH TPS (LEH.MOH.)",920,30,13,207,16,,,
"8","RAIL","ROPAR TPS",1260,25,20.2,478,24,,,
"9","RAIL","GND TPS(BHATINDA)",440,30,5.2,136,26,,,
"RAJASTHAN",,,,,,,,,,
"10","RAIL","KOTA TPS",1240,30,18.6,76,4,"*","Less import",
"11","RAIL","SURATGARH TPS",1500,30,20.8,196,9,,,
"12","RAIL","CHHABRA TPP",500,30,6.4,212,33,,,
"UTTAR PRADESH",,,,,,,,,,
"13","PITHEAD","ANPARA TPS",1630,15,25.4,352,14,,,
"14","RAIL","HARDUAGANJ TPS",220,25,2.8,95,34,,,
"15","RAIL","OBRA TPS",1372,20,13.9,249,18,,,
"16","RAIL","PANKI TPS",210,30,3.5,104,30,,,
"17","RAIL","PARICHHA TPS",640,30,9.2,302,33,,,
"18","RAIL","DADRI (NCTPP)",1820,30,26.6,87,3,"*","**","Less Receipt"
"19","PITHEAD","RIHAND STPS",2000,15,32.1,661,21,,,
"20","PITHEAD","SINGRAULI STPS",2000,15,32.6,689,21,,,
"21","RAIL","TANDA TPS",440,25,7.8,259,33,,,
"22","RAIL","UNCHAHAR TPS",1050,25,17.6,515,29,,,
"23","RAIL","ROSA TPP Ph-I",600,25,8.7,46,5,"*","No import",
"TOTAL OF N.R.",22342,24,331.9,5313,16,5,3,,,
"WESTERN",,,,,,,,,,
"CHHATTISGARH",,,,,,,,,,
"24","RAIL","DSPM TPS",500,15,8.7,128,15,,,
"25","PITHEAD","KORBA-II",440,15,8.7,119,14,,,
"26","PITHEAD","KORBA-WEST TPS",840,15,14.4,458,32,,,
"27","PITHEAD","KORBA STPS",2600,15,37.6,528,14,,,
"28","PITHEAD","SIPAT STPS",1000,20,17.3,634,37,,,
"29","RAIL","PATHADI TPP",600,15,8.7,228,26,,,
"30","RAIL","BHILAI TPS",500,25,7.8,95,12,,,
"GUJARAT",,,,,,,,,,
"31","RAIL","GANDHI NAGAR TPS",870,30,14.2,47,3,"*","**","Less Receipt"
"32","RAIL","UKAI TPS",850,30,12.1,35,3,"*","**","Higher Generation"
"33","RAIL","SIKKA REP. TPS",240,30,3.8,9,2,"*","**","Less Receipt"
"34","RAIL","WANAKBORI TPS",1470,30,22.5,103,5,"*","Less Receipt",
"35","RAIL","SABARMATI (C",400,30,6.4,72,11,,,
"STATION)",,,,,,,,,,
"MADHYA PRADESH",,,,,,,,,,
"36","PITHEAD","AMARKANTAK EXT TPS",450,15,5.2,175,34,,,
"37","RAIL","SANJAY GANDHI TPS",1340,20,18.5,7,0,"*","**","Less import"
"38","RAIL","SATPURA TPS",1142.5,20,17.9,116,6,"*","Less Receipt",
"39","PITHEAD","VINDHYACHAL STPS",3260,15,54,647,12,,,
"MAHARASHTRA",,,,,,,,,,
"40","RAIL","BHUSAWAL TPS",470,20,7.5,249,33,,,
"41","RAIL","CHANDRAPUR(MAHAR",2340,20,39,471,12,,,
"ASHTRA) STPS",,,,,,,,,,
"42","RAIL","KHAPARKHEDA TPS- II",840,25,15.6,14,1,"*","**","Less Receipt"
"Page 2 of2",,,,,,,,,,
,,,,,,,,,,
" REGION/","MODE OF","NAME OF","CAPACITY","NORMA","COAL","ACTUAL STOCK","CRITICAL","REASONS FOR",,
"STATE","TRANSPORT","THERMAL","(MW)","TIVE","REQUIRE","CRITICAL COAL",,,,
"POWER","STOCK","MENT","IN",0,"IN","COAL STOCK","STOCK",,,
"STATION","Reqd.","IN '000","TONNES","DAYS",,,,,,
"(DAYS)","TONNES","<7","<4",,,,,,,
,,,,,,,,,,
"43","RAIL","KORADI TPS",1040,25,13.9,255,18,,,
"44","RAIL","NASIK TPS",880,25,13.6,213,16,,,
"45","RAIL","PARLI TPS",1170,25,16.7,86,5,"*","Less Receipt",
"46","RAIL","PARAS TPS",555,25,7.5,114,15,,,
"47","RAIL","DAHANU TPS",500,25,9.2,29,3,"*","**","Less Receipt - SECL"
"48","RAIL","WARDHA WARORA",405,20,6.6,39,6,"*","Supply not started",
"TOTAL OF W.R.",24702.5,21,387.4,4870,13,10,6,,,
"SOUTHERN",,,,,,,,,,
"ANDHRA PRADESH",,,,,,,,,,
"49","RAIL","Dr. N.TATA RAO TPS",1760,20,26,126,5,"*","Less Receipt",
"50","RAIL","KOTHAGUDEM TPS",1220,20,18.9,342,18,,,
"51","ROAD","RAMAGUNDEM - B TPS",62.5,20,1,8,8,,,
"52","RAIL","RAYALASEEMA TPS",1050,25,16.5,80,5,"*","Less Receipt",
"53","PITHEAD","RAMAGUNDEM STPS",2600,15,38.1,517,14,,,
"54","RAIL","SIMHADRI",1500,25,23.1,157,7,,,
"55","PITHEAD","KAKATIYA TPS",500,15,5.8,109,19,,,
"KARNATAKA",,,,,,,,,,
"56","RAIL","RAICHUR TPS",1720,30,25.1,435,17,,,
"57","RAIL","BELLARY TPS",500,20,8.7,56,6,"*","Less Receipt",
"TAMIL NADU",,,,,,,,,,
"58","INTER MODAL","ENNORE TPS",450,30,6.9,6,1,"*","**","Less Receipt"
"59","INTER MODAL","METTUR TPS",840,30,13.6,95,7,,,
"60","INTER MODAL","NORTH CHENNAI TPS",630,30,10.4,40,4,"*","Less Receipt",
"61","INTER MODAL","TUTICORIN TPS",1050,30,18.5,12,1,"*","**","Less Receipt"
"TOTAL OF S.R.",13882.5,23,212.6,1986,9,6,2,,,
"EASTERN",,,,,,,,,,
"BIHAR",,,,,,,,,,
"62","RAIL","BARAUNI TPS",310,20,1.2,16,14,,,
"63","RAIL","MUZAFFARPUR TPS",220,20,1.7,8,4,"*","Less Receipt",
"64","PITHEAD","KAHALGAON TPS",2340,15,40.4,10,0,"*","**","Coal Transportation"
"JHARKHAND",,,,,,,,,,
"65","RAIL","PATRATU TPS",770,20,2.9,87,30,,,
"66","ROAD","TENUGHAT TPS",420,20,4.6,61,13,,,
"67","RAIL","BOKARO `B` TPS",630,20,9,362,40,,,
"68","RAIL","CHANDRAPURA(DVC)",890,20,8.1,2,0,"*","**","Less Receipt"
"TPS",,,,,,,,,,
"ORISSA",,,,,,,,,,
"69","PITHEAD","IB VALLEY TPS",420,15,7.8,139,18,,,
"70","PITHEAD","TALCHER (OLD) TPS",470,15,8.7,244,28,,,
"71","PITHEAD","TALCHER STPS",3000,15,52,402,8,,,
"72","RAIL","STERLITE TPP",1200,20,17.3,70,4,"*","Less Receipt",
"WEST BENGAL",,,,,,,,,,
"73","RAIL","DURGAPUR TPS",340,20,4.8,308,65,,,
"74","RAIL","MEJIA TPS",2340,20,28.9,0,0,"*","**","Higher Trun around"
"time",,,,,,,,,,
"75","RAIL","BAKRESWAR TPS",1050,25,17.3,168,10,,,
"76","RAIL","BANDEL TPS",450,20,4.9,31,6,"*","Less Receipt",
"77","RAIL","D.P.L. TPS",690,25,7.8,183,24,,,
"78","RAIL","KOLAGHAT TPS",1260,25,18.2,31,2,"*","**","Less Receipt"
"79","RAIL","SAGARDIGHI TPS",600,20,7.8,32,4,"*","Less import",
"80","RAIL","SANTALDIH TPS",730,20,6.4,47,7,,,
